name,price
Google Pixel 8 Pro - 5G,999.99
Google Pixel 8 - 5G,799.99
Google Pixel 7a,549.99
Google Pixel Fold,1799.99
Google Pixel 7,699.99
Google Pixel 7 Pro,1099.99
Google Pixel Fold - 5G,1799.99
Google Pixel 7a - 5G,549.99
Google Pixel 7 Pro - 5G,1099.99
Google Pixel 7 - 5G,699.99
Google Pixel 6a - 5G,399.99
Google Pixel 6 Pro - 5G,999.99
Google Pixel 6 - 5G,799.99
Google Pixel 6a,399.99
Google Pixel 6,799.99
Google Pixel 8,799.99
Google Pixel 8 Pro,999.99
Google Pixel 6 Pro,999.99
