name,price
Samsung Galaxy Z Fold5,1799.99
Samsung Galaxy Z Flip5,999.99
Samsung Galaxy A54 5G,499.99
Samsung Galaxy S23 Ultra,1199.99
Samsung Galaxy S23+,999.99
Samsung Galaxy S23,799.99
Samsung Galaxy A23 5G UW,349.99
Samsung Galaxy Z Flip4,999.99
Samsung Galaxy Z Fold4,1919.99
Samsung Galaxy S22+,999.99
Samsung Galaxy A42 5G,359.99
Samsung Galaxy S22 Ultra,1199.99
Samsung Galaxy S22,699.99
Samsung Galaxy Z Fold3 5G,1799.99
Samsung Galaxy Z Flip3 5G,999.99
Samsung Galaxy S21 FE 5G,599.99
Samsung Galaxy S20 FE 5G UW,599.99
Samsung Galaxy A53 5G UW,499.99
