name,price
Apple Watch Ultra 2,799.99
Apple Watch Series 9,499.99
Apple Watch Series 8,529.99
Apple Watch SE (2nd Gen),299.99
Apple Watch Series 7,479.99
Apple Watch SE (2nd Gen) (Certified Pre-Owned),284.99
Apple Watch Series 8 (Certified Pre-Owned),473.99
Apple Watch Series 6 (Certified Pre-Owned),281.99
Apple Watch Series 7 (Certified Pre-Owned),393.99
Apple Watch SE (Certified Pre-Owned),275.99
Apple Watch Ultra,799.99
Apple Watch SE,279.99
Apple Watch Series 6,449.99
Apple Watch Series 4 (Certified Pre-Owned),197.99
Apple Watch Series 5 (Certified Pre-Owned),259.99
